eq,vars,test_r2,train_loss,wall_s,expression
I.15.10,2,0.999788,4.61901e-06,19.7,1.048*(tanh(-0.717*tanh(-0.652*x0-0.523*x1-0.064*(x1*x0)+0.263)+0.007*tanh(0.004*x0-0.005*x1+0.003*(x1*x0)+0.001)+0.149*
I.18.4,3,0.999798,0.00176481,23.0,12.299*tanh(-0.091*tanh(-0.346*tanh(0.467*x0-0.157*x1+0.072*x2+0.294)+0.194*tanh(0.022*x0-0.031*x1+1.157*x2-0.477)-0.340
I.18.14,3,0.999825,0.0491697,17.4,64.218*tanh(0.348*tanh(0.443*x0-0.164*x1-0.166*x2+0.852)-0.492*tanh(-0.268*x0-0.282*x1-0.281*x2+2.410)+0.433*tanh(0.383*
I.24.6,2,0.999078,0.00112413,5.1,5.659*tanh(1.243*tanh(0.112*x0+1.528*x1-0.928)-0.499*tanh(-0.044*x0+0.669*x1-0.047)-0.226*tanh(0.152*x0-0.044*x1-0.048)+
I.25.9,2,0.999905,1.55749e-05,15.2,1.849*tanh(-0.144*tanh(0.109*tanh(-0.460*x0+0.203*x1+0.086)-0.019*tanh(-0.097*x0-0.113*x1-0.057)-0.083*tanh(-0.103*x0-0.
I.29.16,3,0.905897,0.191588,20.8,4.383*(tanh(-1.993*tanh(-0.000*tanh(0.012*tanh(-0.145*x0+1.348*x1+1.022*x2-1.245)+0.003*tanh(0.623*x0-0.112*x1-0.038*x2-
I.32.8,3,0.968732,0.664223,8.3,45.411*(tanh(1.049*x0+1.015*x1-4.162*x2-2.400)+tanh(0.027*((((x1*x0)+tanh(-0.035*(((x1*x0)*(x1*x0))/x2)-0.035))*((x1*x0)
I.34.6,1,0.999050,4.70587e-05,1.7,0.555*(((tanh(-0.313*x0+0.274)+tanh(tanh(-0.246*x0+0.120)))+(((tanh(tanh(-0.246*x0+0.120))+tanh(tanh(-0.150*x0+0.031)))+
I.43.27,3,0.998875,4.23649e-05,12.6,2.000*tanh(-0.872*tanh(-0.150*x0+1.360*x1+0.105*x2-0.615)+0.673*tanh(0.659*x0+0.029*x1+0.041*x2-0.140)+0.205*tanh(0.099*
I.47.23,2,0.999940,5.0247e-06,71.9,0.975*(((tanh(0.1730)+tanh(-0.139*tanh(-0.114*x0+0.246*x1-0.085)-0.229*tanh(-0.522*x0-0.060*x1-0.075)+0.154*tanh(0.199*x
II.11.27,3,0.999462,0.0100424,370.8,19.570*tanh(-0.428*tanh(-0.568*tanh(-0.482*x0-0.255*x1+1.140*x2-0.218)-0.000*tanh(-0.005*x0+0.004*x1+0.005*x2-0.000)+0.0
II.34.29a,2,0.999939,0.011324,32.8,43.316*tanh(0.129*tanh(0.542*x0-0.530*x1+1.294)+0.000*tanh(0.001*x0+0.001*x1-0.005)-2.677*tanh(-0.146*x0-0.286*x1+2.719)
III.4.33,2,0.999993,3.27888e-05,9.3,6.280*(tanh(-0.396*tanh(-0.394*x0+0.721*x1+0.657)-0.317*tanh(-0.413*x0+0.416*x1+0.158)-0.308*tanh(0.272*x0+0.586*x1-0.74
III.10.19,2,0.999953,5.15902e-05,28.1,3.763*tanh(0.711*tanh(-0.697*tanh(0.476*x0-0.326*x1+0.884)+0.833*tanh(0.454*x0+0.471*x1-0.271)-0.002*tanh(0.003*x0+0.003
I.48.20,3,0.999974,0.000222317,84.9,10.494*tanh(-0.241*tanh(0.133*tanh(-0.276*tanh(-0.060*x0+0.414*x1+0.043*x2-0.388)-0.055*(tanh(0.4000)+tanh(0.163*x0-0.34
